cohort,patients,label_0,label_1,feature_set,model,roc_auc,pr_auc,brier,balanced_accuracy_at_0_5,calibration_intercept,calibration_slope,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,brier_ci_low,brier_ci_high,repeat_auc_mean,repeat_auc_sd
age_bmi_n130,130,79,51,clinical,elasticnet_logistic,0.4422933730454207,0.37311418238476896,0.25234862915363326,0.4694713328369322,-0.44840295631759064,-2.5925736629433014,0.3356598373804455,0.5488544300223283,0.2842878687352028,0.5057410145561064,0.24885221388730813,0.25601150815204626,0.4666294365847605,0.02433908728046197
age_bmi_n130,130,79,51,combined,elasticnet_logistic,0.6406056093323406,0.5004555289454381,0.23496733895994792,0.5928270042194093,-0.42504016497785974,1.1736554349190238,0.5431597684442663,0.7344284167061531,0.3870700311912164,0.6430937972466912,0.2187776834505823,0.25158855609085823,0.6386696450732192,0.0379114181128648
age_bmi_n130,130,79,51,mri7_global_mechanistic,elasticnet_logistic,0.6502854306279474,0.517929693526441,0.23292082987703025,0.5830230826507818,-0.4213479651255349,1.1744857051062159,0.550058644189383,0.7442545454545454,0.4026054843304257,0.6657452010321318,0.21563205197504698,0.2516074002962483,0.6460412012906429,0.026821600861694085
all_native_missing_n312,312,190,122,clinical_native_missing,xgboost_native_missing,0.49421915444348574,0.37282845728407965,0.24636467241512422,0.48218291630716137,-0.5022595738584251,-0.13041714602969393,0.4275306980487726,0.5623061765694215,0.31026966330872796,0.446496907944592,0.23157333918588835,0.26134360893286607,0.49860440034512515,0.02515630521971153
all_native_missing_n312,312,190,122,combined_native_missing,xgboost_native_missing,0.5365401207937879,0.4335932029382384,0.2447281136218873,0.5065573770491804,-0.31881975003855006,0.2714146349690667,0.47113515419111973,0.6033665339277172,0.3600173074546505,0.5276823844122677,0.22822057532570358,0.2618779278458525,0.5368636755823986,0.02133706933739737
all_native_missing_n312,312,190,122,mri7_global_mechanistic,xgboost_native_missing,0.5516824849007765,0.4410474806118193,0.24268525592959195,0.5229508196721312,-0.2865294020728462,0.34196199794719645,0.48573991111642234,0.6146661459765429,0.3677377299906668,0.5333041769528283,0.22567420774724217,0.26018842547573595,0.5484728213977567,0.01622734159136636
complete4_n95,95,62,33,clinical,elasticnet_logistic,0.5391006842619745,0.37305664868326877,0.24943584790141146,0.5085532746823069,-0.6235982837516374,0.3235292130084962,0.4147056889901823,0.662622457942031,0.26410557318643446,0.5340287058422508,0.23825500739826602,0.26109397669714046,0.5195014662756599,0.030816733884560226
complete4_n95,95,62,33,combined,elasticnet_logistic,0.6265884652981427,0.4887202996319814,0.23462463064807434,0.5872434017595307,-0.5894467968757701,1.0660198790851478,0.5041915668984635,0.7443529044015496,0.3448281355081342,0.6580549589004441,0.21371794738696767,0.25620060082843604,0.621700879765396,0.02990804781799579
complete4_n95,95,62,33,mri7_global_mechanistic,elasticnet_logistic,0.6207233626588465,0.47880827687554606,0.23675576089849118,0.5398338220918866,-0.5854135807842962,1.0133435345716808,0.4981134385821031,0.7389880952380954,0.3445634330728709,0.6684201350092669,0.21783870065059577,0.25674609715885716,0.613880742913001,0.022143873180423455
locked7_complete4_overlap_n68,68,46,22,clinical,elasticnet_logistic,0.4318181818181818,0.28784981741838417,0.2587338285852118,0.4772727272727273,-0.8206792678536435,-1.4665971631597492,0.2872580557958478,0.5841374771062271,0.19441981613041767,0.44724216171043985,0.24479382428057486,0.2739888208041131,0.4526679841897233,0.05451863604004724
locked7_complete4_overlap_n68,68,46,22,combined_locked7_clinical,elasticnet_logistic,0.708498023715415,0.5667981805485913,0.20786808771290233,0.6650197628458498,-0.6178987335424374,1.0591203270743115,0.5642506587615284,0.832866194809572,0.374797514289018,0.7648782593661526,0.1750687276209461,0.2445340469550414,0.6850790513833993,0.04223799431040631
locked7_complete4_overlap_n68,68,46,22,v7_label_selected_locked7,elasticnet_logistic,0.6857707509881423,0.531426420057014,0.21637671021274796,0.6758893280632412,-0.6596396247383504,0.9408505541360005,0.5388049616606797,0.8232300617615468,0.34703320831924434,0.7605642732465269,0.18102278182779927,0.25318427294859325,0.6702569169960475,0.045723578961965654
locked7_overlap_n219,219,132,87,v7_label_selected_locked7,logistic_l2,0.665186346220829,0.5467410960017358,0.23030069161695063,0.6073667711598746,-0.3980055729672922,0.8094674059548441,0.5878184068984177,0.7387736547636435,0.4479909619191355,0.6619530381445183,0.2099332665442843,0.2512951752055291,0.6593695576454197,0.012543403747812418
locked7_overlap_n219,219,132,87,v7_label_selected_locked7,svm_rbf,0.5989202368512713,0.47324875272714706,0.23338516776762333,0.5176332288401254,0.04251090653627881,1.1059177785587508,0.5211640792301017,0.6707700479497355,0.38570740579902646,0.5820029395304969,0.218006069479393,0.24865047243504257,0.593216649251132,0.016634368204796898
locked7_overlap_n219,219,132,87,v7_label_selected_locked7,xgboost_fixed,0.6137234413096483,0.4859199558646421,0.23564460415088717,0.554858934169279,-0.1494129504660655,0.5578277151563161,0.5390623405079512,0.689092084030539,0.3983294406259606,0.6021966756474987,0.21297868067752312,0.2582357748757295,0.6039707419017765,0.02305470819598232
