repeat,fold,feature_set,model,best_inner_auc,best_params
0,0,prior_core,xgboost,0.4624078263784146,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
0,0,prior_core,lightgbm,0.4500900787665494,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 7}"
0,0,prior_core,random_forest,0.40848625775096364,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
0,0,prior_plus_locked7,xgboost,0.5363981062510474,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
0,0,prior_plus_locked7,lightgbm,0.5337166918049271,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
0,0,prior_plus_locked7,random_forest,0.5185708898944192,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
0,1,prior_core,xgboost,0.5422113289760349,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
0,1,prior_core,lightgbm,0.5501822523881347,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
0,1,prior_core,random_forest,0.5631389307859895,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
0,1,prior_plus_locked7,xgboost,0.6401143790849674,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
0,1,prior_plus_locked7,lightgbm,0.5770801910507792,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 7}"
0,1,prior_plus_locked7,random_forest,0.6161806602983073,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
0,2,prior_core,xgboost,0.5183928272163567,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
0,2,prior_core,lightgbm,0.5084317915200268,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
0,2,prior_core,random_forest,0.5816574493045081,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
0,2,prior_plus_locked7,xgboost,0.5326273671861907,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
0,2,prior_plus_locked7,lightgbm,0.533769063180828,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
0,2,prior_plus_locked7,random_forest,0.6015795206971678,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
0,3,prior_core,xgboost,0.5518057650410592,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
0,3,prior_core,lightgbm,0.6158664320429026,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
0,3,prior_core,random_forest,0.5551051617228089,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
0,3,prior_plus_locked7,xgboost,0.6073403720462545,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
0,3,prior_plus_locked7,lightgbm,0.6120642701525054,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
0,3,prior_plus_locked7,random_forest,0.5959967320261438,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
0,4,prior_core,xgboost,0.4557566616390146,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
0,4,prior_core,lightgbm,0.44215057817998993,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 7}"
0,4,prior_core,random_forest,0.472138428020781,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
0,4,prior_plus_locked7,xgboost,0.580054885201944,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
0,4,prior_plus_locked7,lightgbm,0.5617249036366684,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
0,4,prior_plus_locked7,random_forest,0.5742416624769566,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
1,0,prior_core,xgboost,0.5025871459694989,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
1,0,prior_core,lightgbm,0.4943334171275348,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 7}"
1,0,prior_core,random_forest,0.513826043237808,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
1,0,prior_plus_locked7,xgboost,0.5736341545165075,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
1,0,prior_plus_locked7,lightgbm,0.5842550695491872,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
1,0,prior_plus_locked7,random_forest,0.56450058655941,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
1,1,prior_core,xgboost,0.5602480308362662,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
1,1,prior_core,lightgbm,0.5509782973018267,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
1,1,prior_core,random_forest,0.5443690296631473,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
1,1,prior_plus_locked7,xgboost,0.6540137422490364,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
1,1,prior_plus_locked7,lightgbm,0.6129336349924585,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 300, ""model__num_leaves"": 7}"
1,1,prior_plus_locked7,random_forest,0.6649384112619406,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
1,2,prior_core,xgboost,0.5157009384950562,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
1,2,prior_core,lightgbm,0.533046338193397,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
1,2,prior_core,random_forest,0.497737556561086,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
1,2,prior_plus_locked7,xgboost,0.5967089827383945,"{""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 300}"
1,2,prior_plus_locked7,lightgbm,0.5910528741411094,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
1,2,prior_plus_locked7,random_forest,0.5915975364504777,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
1,3,prior_core,xgboost,0.4958417127534775,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
1,3,prior_core,lightgbm,0.5009322104910341,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
1,3,prior_core,random_forest,0.535507792860734,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
1,3,prior_plus_locked7,xgboost,0.5495747444276856,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
1,3,prior_plus_locked7,lightgbm,0.5682713256242667,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
1,3,prior_plus_locked7,random_forest,0.5826734539969833,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
1,4,prior_core,xgboost,0.5112598458186693,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
1,4,prior_core,lightgbm,0.5422951231774762,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 7}"
1,4,prior_core,random_forest,0.5120663650075414,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
1,4,prior_plus_locked7,xgboost,0.6094980727333669,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
1,4,prior_plus_locked7,lightgbm,0.599997905144964,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
1,4,prior_plus_locked7,random_forest,0.5923097871627283,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
2,0,prior_core,xgboost,0.5521618903971846,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
2,0,prior_core,lightgbm,0.5394565946036534,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
2,0,prior_core,random_forest,0.5847787833081951,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
2,0,prior_plus_locked7,xgboost,0.6309598625775097,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
2,0,prior_plus_locked7,lightgbm,0.6327404893581363,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 150, ""model__num_leaves"": 15}"
2,0,prior_plus_locked7,random_forest,0.6519503100385453,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
2,1,prior_core,xgboost,0.5160361153008212,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
2,1,prior_core,lightgbm,0.5046820010055304,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 7}"
2,1,prior_core,random_forest,0.49904684095860563,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
2,1,prior_plus_locked7,xgboost,0.6453619909502262,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 150}"
2,1,prior_plus_locked7,lightgbm,0.6231355790179319,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
2,1,prior_plus_locked7,random_forest,0.6280689626277861,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 300}"
2,2,prior_core,xgboost,0.5290975364504776,"{""model__learning_rate"": 0.08, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
2,2,prior_core,lightgbm,0.48716901290430703,"{""model__learning_rate"": 0.08, ""model__n_estimators"": 300, ""model__num_leaves"": 7}"
2,2,prior_core,random_forest,0.5205295793531088,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
2,2,prior_plus_locked7,xgboost,0.596080526227585,"{""model__learning_rate"": 0.08, ""model__max_depth"": 2, ""model__n_estimators"": 150}"
2,2,prior_plus_locked7,lightgbm,0.5543929110105581,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
2,2,prior_plus_locked7,random_forest,0.5755928439751969,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
2,3,prior_core,xgboost,0.48600636835930955,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 300}"
2,3,prior_core,lightgbm,0.5275787665493548,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 300, ""model__num_leaves"": 15}"
