feature_set,model,repeat,roc_auc,pr_auc,brier
prior_core,xgboost,0,0.48310693138279354,0.41458316823897046,0.28450574443379967
prior_core,lightgbm,0,0.488070358760014,0.42009505075700715,0.30073286870274957
prior_core,random_forest,0,0.493120863810519,0.3989351683929834,0.2523748882307561
prior_plus_locked7,xgboost,0,0.5256008359456635,0.4097639296320015,0.29832142759853586
prior_plus_locked7,lightgbm,0,0.5283002438174852,0.42115953361202707,0.3010479891628409
prior_plus_locked7,random_forest,0,0.5511145942180425,0.40999794584674104,0.24716752190061658
prior_core,xgboost,1,0.4559386973180077,0.3678480508403991,0.31146879638793923
prior_core,lightgbm,1,0.46325322187391155,0.37700390427899677,0.3022090792309762
prior_core,random_forest,1,0.49642981539533265,0.4086315792885568,0.25277724927674156
prior_plus_locked7,xgboost,1,0.5477185649599443,0.42792016668968297,0.2740437945709597
prior_plus_locked7,lightgbm,1,0.5525078369905957,0.44331542667082535,0.2809657986546444
prior_plus_locked7,random_forest,1,0.5743643329850227,0.44911904349755183,0.2407842528518541
prior_core,xgboost,2,0.497561825148032,0.414272031866261,0.2806612958995675
prior_core,lightgbm,2,0.45289097875304773,0.36826637414232505,0.31751511617711864
prior_core,random_forest,2,0.48867990247300597,0.4280084014856661,0.25271204151122906
prior_plus_locked7,xgboost,2,0.5606060606060606,0.47087318928432054,0.2664124900217963
prior_plus_locked7,lightgbm,2,0.5519853709508882,0.4843245222230823,0.2792828941465744
prior_plus_locked7,random_forest,2,0.5700975269940788,0.4628360263038751,0.24161094261238975
prior_core,xgboost,3,0.47030651340996166,0.3809156409185288,0.30436287033373943
prior_core,lightgbm,3,0.44740508533611983,0.3810147300945028,0.3143427764062022
prior_core,random_forest,3,0.4564611633577151,0.3878256870953999,0.25954061920543603
prior_plus_locked7,xgboost,3,0.5217694183211425,0.4030791881482705,0.2803725379966899
prior_plus_locked7,lightgbm,3,0.5094043887147336,0.3998920950468109,0.3136170279881576
prior_plus_locked7,random_forest,3,0.5314350400557297,0.41482615840792336,0.25049019269389133
prior_core,xgboost,4,0.5104493207941484,0.4247323306641456,0.27391346562823526
prior_core,lightgbm,4,0.5232497387669801,0.4545570840180767,0.29164628312262697
prior_core,random_forest,4,0.49939045628700807,0.4200905725237171,0.250227192343934
prior_plus_locked7,xgboost,4,0.6236502960640893,0.49175575167545815,0.23648265838597243
prior_plus_locked7,lightgbm,4,0.5980494601184256,0.4575883999263499,0.24943269452288758
prior_plus_locked7,random_forest,4,0.5937826541274818,0.44794824218697316,0.2384168172522344
prior_core,xgboost,5,0.4935562521769419,0.39682095048597105,0.28260474510600936
prior_core,lightgbm,5,0.4811912225705329,0.4033025833573411,0.30192213337055757
prior_core,random_forest,5,0.4818007662835249,0.4365136391475247,0.2530935290365279
prior_plus_locked7,xgboost,5,0.5743643329850225,0.4567471892619658,0.2676124611930168
prior_plus_locked7,lightgbm,5,0.5640891675374434,0.4773488329011628,0.2756604851920463
prior_plus_locked7,random_forest,5,0.5770637408568442,0.44611216042312596,0.24180259022073358
prior_core,xgboost,6,0.46725879484500177,0.40782080012853683,0.2822597281432549
prior_core,lightgbm,6,0.47884012539184956,0.3917250963078708,0.3035832237743868
prior_core,random_forest,6,0.501219087425984,0.4363430290821398,0.24894006351329134
prior_plus_locked7,xgboost,6,0.5987460815047023,0.46326100008168064,0.259265511766321
prior_plus_locked7,lightgbm,6,0.6045802856147684,0.49245018037354815,0.2471081481879565
prior_plus_locked7,random_forest,6,0.6096307906652735,0.4770265314668322,0.23465929526652843
prior_core,xgboost,7,0.5057471264367815,0.3993572810144397,0.28622353735661854
prior_core,lightgbm,7,0.49625566004876354,0.399796686999323,0.30245300509276435
prior_core,random_forest,7,0.5145419714385231,0.4220460584356917,0.24964829233540517
prior_plus_locked7,xgboost,7,0.5735806339254615,0.4301387942118873,0.253337569187956
prior_plus_locked7,lightgbm,7,0.5481539533263671,0.42205890266677537,0.2832550179618865
prior_plus_locked7,random_forest,7,0.5686172065482411,0.43255676398393633,0.2437260271976114
prior_core,xgboost,8,0.46725879484500177,0.39701976098761005,0.30619558069455194
prior_core,lightgbm,8,0.4848484848484848,0.40972043003621816,0.29280731805145055
prior_core,random_forest,8,0.5114071752002786,0.42442344968193313,0.25000999725532497
prior_plus_locked7,xgboost,8,0.5815047021943573,0.47813512421385934,0.2511116293728532
prior_plus_locked7,lightgbm,8,0.5679205851619644,0.4590754745071198,0.2712857630788775
prior_plus_locked7,random_forest,8,0.5831591779867642,0.4579156779996833,0.23827838568691814
prior_core,xgboost,9,0.48040752351097177,0.38657483215408195,0.29888561993029383
prior_core,lightgbm,9,0.44784047370254265,0.3653541074068231,0.31804473120823556
prior_core,random_forest,9,0.5026123301985371,0.4116894898490737,0.2503939309949745
prior_plus_locked7,xgboost,9,0.6187739463601534,0.5032549490072671,0.24050092609872956
prior_plus_locked7,lightgbm,9,0.5936084987809125,0.4700897201234359,0.2560410677522456
prior_plus_locked7,random_forest,9,0.6071055381400209,0.464611453422849,0.23750593662035127
