feature,role,locked_index,is_asymmetry,already_in_locked7,eligible_stage3_addition
2d__target__psoas__Aspect_Ratio__mean,historical_locked7,1,False,True,False
2d__target_minus_cranial__multifidus__Mean_Intensity_Lean_Muscle__mean,historical_locked7,2,False,True,False
2d__target_minus_cranial__erector_spinae__Mean_Intensity_Lean_Muscle__mean,historical_locked7,3,False,True,False
2d__target__erector_spinae__Texture_GLCM_Contrast__asymmetry,historical_locked7,4,True,True,False
2d__target__erector_spinae__Std_Intensity_Muscle__asymmetry,historical_locked7,5,True,True,False
3d__global__multifidus__3D_Volume__asymmetry,historical_locked7,6,True,True,False
3d_cross__erector_spinae__Centroid_Z_Drift__mean,historical_locked7,7,False,True,False
2d__global__multifidus__Mean_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__global__multifidus__Texture_FirstOrder_Entropy__asymmetry,asymmetry_candidate,,True,False,True
2d__global__multifidus__IQR_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__global__multifidus__FIP__asymmetry,asymmetry_candidate,,True,False,True
2d__global__multifidus__Lean_Muscle_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__global__multifidus__Fat_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__global__multifidus__Texture_GLCM_Contrast__asymmetry,asymmetry_candidate,,True,False,True
2d__global__multifidus__Texture_GLCM_Idm__asymmetry,asymmetry_candidate,,True,False,True
2d__global__multifidus__Std_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__global__multifidus__muscle_area_mm2__asymmetry,asymmetry_candidate,,True,False,True
2d__global__erector_spinae__Mean_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__global__erector_spinae__Texture_FirstOrder_Entropy__asymmetry,asymmetry_candidate,,True,False,True
2d__global__erector_spinae__IQR_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__global__erector_spinae__FIP__asymmetry,asymmetry_candidate,,True,False,True
2d__global__erector_spinae__Lean_Muscle_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__global__erector_spinae__Fat_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__global__erector_spinae__Texture_GLCM_Contrast__asymmetry,asymmetry_candidate,,True,False,True
2d__global__erector_spinae__Texture_GLCM_Idm__asymmetry,asymmetry_candidate,,True,False,True
2d__global__erector_spinae__Std_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__global__erector_spinae__muscle_area_mm2__asymmetry,asymmetry_candidate,,True,False,True
2d__global__psoas__Mean_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__global__psoas__Texture_FirstOrder_Entropy__asymmetry,asymmetry_candidate,,True,False,True
2d__global__psoas__IQR_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__global__psoas__FIP__asymmetry,asymmetry_candidate,,True,False,True
2d__global__psoas__Lean_Muscle_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__global__psoas__Fat_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__global__psoas__Texture_GLCM_Contrast__asymmetry,asymmetry_candidate,,True,False,True
2d__global__psoas__Texture_GLCM_Idm__asymmetry,asymmetry_candidate,,True,False,True
2d__global__psoas__Std_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__global__psoas__muscle_area_mm2__asymmetry,asymmetry_candidate,,True,False,True
2d__target__multifidus__Mean_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__target__multifidus__Texture_FirstOrder_Entropy__asymmetry,asymmetry_candidate,,True,False,True
2d__target__multifidus__IQR_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__target__multifidus__FIP__asymmetry,asymmetry_candidate,,True,False,True
2d__target__multifidus__Lean_Muscle_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__target__multifidus__Fat_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__target__multifidus__Texture_GLCM_Contrast__asymmetry,asymmetry_candidate,,True,False,True
2d__target__multifidus__Texture_GLCM_Idm__asymmetry,asymmetry_candidate,,True,False,True
2d__target__multifidus__Std_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__target__multifidus__muscle_area_mm2__asymmetry,asymmetry_candidate,,True,False,True
2d__target__erector_spinae__Mean_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__target__erector_spinae__Texture_FirstOrder_Entropy__asymmetry,asymmetry_candidate,,True,False,True
2d__target__erector_spinae__IQR_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__target__erector_spinae__FIP__asymmetry,asymmetry_candidate,,True,False,True
2d__target__erector_spinae__Lean_Muscle_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__target__erector_spinae__Fat_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__target__erector_spinae__Texture_GLCM_Idm__asymmetry,asymmetry_candidate,,True,False,True
2d__target__erector_spinae__muscle_area_mm2__asymmetry,asymmetry_candidate,,True,False,True
2d__target__psoas__Mean_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__target__psoas__Texture_FirstOrder_Entropy__asymmetry,asymmetry_candidate,,True,False,True
2d__target__psoas__IQR_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__target__psoas__FIP__asymmetry,asymmetry_candidate,,True,False,True
2d__target__psoas__Lean_Muscle_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__target__psoas__Fat_Area__asymmetry,asymmetry_candidate,,True,False,True
2d__target__psoas__Texture_GLCM_Contrast__asymmetry,asymmetry_candidate,,True,False,True
2d__target__psoas__Texture_GLCM_Idm__asymmetry,asymmetry_candidate,,True,False,True
2d__target__psoas__Std_Intensity_Muscle__asymmetry,asymmetry_candidate,,True,False,True
2d__target__psoas__muscle_area_mm2__asymmetry,asymmetry_candidate,,True,False,True
3d__global__multifidus__3D_Func_Volume__asymmetry,asymmetry_candidate,,True,False,True
3d__global__multifidus__3D_FIP__asymmetry,asymmetry_candidate,,True,False,True
3d__global__multifidus__Mean_Area__asymmetry,asymmetry_candidate,,True,False,True
3d__global__multifidus__Mean_Func_CSA__asymmetry,asymmetry_candidate,,True,False,True
3d__global__multifidus__Mean_FIP__asymmetry,asymmetry_candidate,,True,False,True
3d__global__erector_spinae__3D_Volume__asymmetry,asymmetry_candidate,,True,False,True
3d__global__erector_spinae__3D_Func_Volume__asymmetry,asymmetry_candidate,,True,False,True
3d__global__erector_spinae__3D_FIP__asymmetry,asymmetry_candidate,,True,False,True
3d__global__erector_spinae__Mean_Area__asymmetry,asymmetry_candidate,,True,False,True
3d__global__erector_spinae__Mean_Func_CSA__asymmetry,asymmetry_candidate,,True,False,True
3d__global__erector_spinae__Mean_FIP__asymmetry,asymmetry_candidate,,True,False,True
3d__global__psoas__3D_Volume__asymmetry,asymmetry_candidate,,True,False,True
3d__global__psoas__3D_Func_Volume__asymmetry,asymmetry_candidate,,True,False,True
3d__global__psoas__3D_FIP__asymmetry,asymmetry_candidate,,True,False,True
3d__global__psoas__Mean_Area__asymmetry,asymmetry_candidate,,True,False,True
3d__global__psoas__Mean_Func_CSA__asymmetry,asymmetry_candidate,,True,False,True
3d__global__psoas__Mean_FIP__asymmetry,asymmetry_candidate,,True,False,True
