omitted_feature,loo_panel,model,patients,full7_auc,loo6_auc,delta_auc_full7_minus_loo6,ci_low,ci_high,positive_repeats,repeat_count,mean_repeat_delta_auc,interpretation
2d__target__psoas__Aspect_Ratio__mean,loo_without_f01,l2_logistic,219,0.677115987460815,0.654040404040404,0.02307558342041105,-0.009795082531403456,0.055404575590053254,9,10,0.01564785788923718,positive delta means omission reduced AUC
2d__target__psoas__Aspect_Ratio__mean,loo_without_f01,random_forest,219,0.6310518982932776,0.6132009752699409,0.017850923023336684,-0.012581880647584576,0.0484971374045801,9,10,0.016370602577499106,positive delta means omission reduced AUC
2d__target__psoas__Aspect_Ratio__mean,loo_without_f01,xgboost,219,0.6112852664576803,0.5882096830372692,0.02307558342041116,-0.01659788354846538,0.06356797811663367,9,10,0.016762452107279703,positive delta means omission reduced AUC
2d__target_minus_cranial__multifidus__Mean_Intensity_Lean_Muscle__mean,loo_without_f02,l2_logistic,219,0.677115987460815,0.6799895506792059,-0.002873563218390829,-0.018130548687791067,0.013532400025298413,1,10,-0.008977708115639148,positive delta means omission reduced AUC
2d__target_minus_cranial__multifidus__Mean_Intensity_Lean_Muscle__mean,loo_without_f02,random_forest,219,0.6310518982932776,0.6381051898293278,-0.007053291536050277,-0.026631896069255454,0.012356568326684997,2,10,-0.006774642981539558,positive delta means omission reduced AUC
2d__target_minus_cranial__multifidus__Mean_Intensity_Lean_Muscle__mean,loo_without_f02,xgboost,219,0.6112852664576803,0.621647509578544,-0.010362243120863646,-0.028933508722791386,0.007737027945867043,2,10,-0.012957157784744022,positive delta means omission reduced AUC
2d__target_minus_cranial__erector_spinae__Mean_Intensity_Lean_Muscle__mean,loo_without_f03,l2_logistic,219,0.677115987460815,0.6637060257749914,0.013409961685823646,-0.01970847061473909,0.04655839174751359,9,10,0.011668408220132343,positive delta means omission reduced AUC
2d__target_minus_cranial__erector_spinae__Mean_Intensity_Lean_Muscle__mean,loo_without_f03,random_forest,219,0.6310518982932776,0.6098920236851272,0.021159874608150386,-0.01619825259827502,0.06133171027408229,10,10,0.023049460118425635,positive delta means omission reduced AUC
2d__target_minus_cranial__erector_spinae__Mean_Intensity_Lean_Muscle__mean,loo_without_f03,xgboost,219,0.6112852664576803,0.5810693138279346,0.030215952629745746,-0.011330664520319863,0.07199305048488291,9,10,0.025509404388714695,positive delta means omission reduced AUC
2d__target__erector_spinae__Texture_GLCM_Contrast__asymmetry,loo_without_f04,l2_logistic,219,0.677115987460815,0.669627307558342,0.007488679902473039,-0.01528364708701848,0.027932370742427125,5,10,0.001071055381400221,positive delta means omission reduced AUC
2d__target__erector_spinae__Texture_GLCM_Contrast__asymmetry,loo_without_f04,random_forest,219,0.6310518982932776,0.6293103448275861,0.0017415534656914922,-0.021597468545471118,0.024199751728534686,6,10,0.0007749912922326296,positive delta means omission reduced AUC
2d__target__erector_spinae__Texture_GLCM_Contrast__asymmetry,loo_without_f04,xgboost,219,0.6112852664576803,0.6183385579937304,-0.007053291536050055,-0.02578026051073374,0.012240309968019504,4,10,-0.00444096133751305,positive delta means omission reduced AUC
2d__target__erector_spinae__Std_Intensity_Muscle__asymmetry,loo_without_f05,l2_logistic,219,0.677115987460815,0.6646638801811215,0.01245210727969348,-0.015190544122014635,0.04057900538652268,6,10,0.008333333333333349,positive delta means omission reduced AUC
2d__target__erector_spinae__Std_Intensity_Muscle__asymmetry,loo_without_f05,random_forest,219,0.6310518982932776,0.612156043190526,0.018895855102751602,-0.015655665692191484,0.054348248844462835,9,10,0.01824277255311736,positive delta means omission reduced AUC
2d__target__erector_spinae__Std_Intensity_Muscle__asymmetry,loo_without_f05,xgboost,219,0.6112852664576803,0.5911703239289445,0.020114942528735802,-0.015785630827765632,0.05569458339116978,9,10,0.016261755485893436,positive delta means omission reduced AUC
3d__global__multifidus__3D_Volume__asymmetry,loo_without_f06,l2_logistic,219,0.677115987460815,0.6536920933472656,0.023423894113549393,-0.013531573841870122,0.06137148022425144,9,10,0.019070010449320808,positive delta means omission reduced AUC
3d__global__multifidus__3D_Volume__asymmetry,loo_without_f06,random_forest,219,0.6310518982932776,0.6105886450714038,0.02046325322187381,-0.005136045936623942,0.04634761169845829,10,10,0.01780738418669451,positive delta means omission reduced AUC
3d__global__multifidus__3D_Volume__asymmetry,loo_without_f06,xgboost,219,0.6112852664576803,0.5883838383838385,0.02290142807384188,-0.009767527427114482,0.05499231887022168,10,10,0.0185518982932776,positive delta means omission reduced AUC
3d_cross__erector_spinae__Centroid_Z_Drift__mean,loo_without_f07,l2_logistic,219,0.677115987460815,0.6551724137931034,0.021943573667711602,-0.009853759554162369,0.05811996099026563,9,10,0.01597004528039009,positive delta means omission reduced AUC
3d_cross__erector_spinae__Centroid_Z_Drift__mean,loo_without_f07,random_forest,219,0.6310518982932776,0.6302681992337165,0.0007836990595611049,-0.016682440499343323,0.019431826400581935,3,10,-0.0010884709160571715,positive delta means omission reduced AUC
3d_cross__erector_spinae__Centroid_Z_Drift__mean,loo_without_f07,xgboost,219,0.6112852664576803,0.6138975966562173,-0.002612330198537016,-0.024719125318158647,0.020665435324988008,3,10,-0.004758794845001735,positive delta means omission reduced AUC
