panel,model,repeat,roc_auc,pr_auc,brier
locked7_full,l2_logistic,0,0.6524730059212818,0.556066192719503,0.23508877457155647
locked7_full,random_forest,0,0.6184256356670149,0.49235017836474343,0.2346844343290529
locked7_full,xgboost,0,0.6008359456635318,0.4561789229414819,0.2513556358569164
locked7_full,l2_logistic,1,0.6499477533960293,0.5286862829254166,0.23704928883431767
locked7_full,random_forest,1,0.6157262277951934,0.4844349274738212,0.23585901497266068
locked7_full,xgboost,1,0.5932601880877744,0.4893410107506113,0.2524823344700726
locked7_full,l2_logistic,2,0.6623127830024381,0.5447045728884319,0.2319652501038923
locked7_full,random_forest,2,0.6106757227446882,0.4861800028751077,0.23731650992008047
locked7_full,xgboost,2,0.5939568094740508,0.4538789436116323,0.2513590276161559
locked7_full,l2_logistic,3,0.6400208986415883,0.5172981933748402,0.24130225328291383
locked7_full,random_forest,3,0.6065830721003136,0.4654345255259524,0.23843312111457826
locked7_full,xgboost,3,0.5699233716475096,0.43961713825536086,0.263495388555093
locked7_full,l2_logistic,4,0.6498606757227446,0.5412862709532531,0.233717635538887
locked7_full,random_forest,4,0.6342737722048066,0.5019461371359965,0.232887064479666
locked7_full,xgboost,4,0.6104144897248346,0.46875897168214414,0.24752705966565597
locked7_full,l2_logistic,5,0.6846046673632881,0.5683612773548814,0.22832893172768745
locked7_full,random_forest,5,0.6469000348310694,0.5140427973903008,0.23000221209324828
locked7_full,xgboost,5,0.6442877046325322,0.5233430972256237,0.233769244792926
locked7_full,l2_logistic,6,0.6752002786485545,0.5504462949063915,0.2344711977318781
locked7_full,random_forest,6,0.6207767328456983,0.48838526004048255,0.23769111979439322
locked7_full,xgboost,6,0.5725357018460467,0.43475491155541174,0.2556446306794685
locked7_full,l2_logistic,7,0.6849529780564263,0.5757581375586933,0.2281495082729729
locked7_full,random_forest,7,0.62042842215256,0.5033193615842427,0.23499678337220842
locked7_full,xgboost,7,0.6006617903169628,0.47365890698885077,0.245519391627389
locked7_full,l2_logistic,8,0.681382793451759,0.5802748692633479,0.2262545029703157
locked7_full,random_forest,8,0.6436781609195402,0.5482833470150442,0.2296768700437925
locked7_full,xgboost,8,0.6320968303726925,0.521595809204191,0.2370019495200489
locked7_full,l2_logistic,9,0.6489028213166145,0.526480500425833,0.23491734588731386
locked7_full,random_forest,9,0.6232149076976663,0.5180134943751424,0.23427610575260638
locked7_full,xgboost,9,0.6038401253918495,0.5018998620454986,0.24475912975279573
