panel,added_feature,panel_role
locked7_reference,,reference
add_001_2d_global_multifidus_Mean_Intensity_Muscle_asymm,2d__global__multifidus__Mean_Intensity_Muscle__asymmetry,add_one_candidate
add_002_2d_global_multifidus_Texture_FirstOrder_Entropy_,2d__global__multifidus__Texture_FirstOrder_Entropy__asymmetry,add_one_candidate
add_003_2d_global_multifidus_IQR_Intensity_Muscle_asymme,2d__global__multifidus__IQR_Intensity_Muscle__asymmetry,add_one_candidate
add_004_2d_global_multifidus_FIP_asymmetry,2d__global__multifidus__FIP__asymmetry,add_one_candidate
add_005_2d_global_multifidus_Lean_Muscle_Area_asymmetry,2d__global__multifidus__Lean_Muscle_Area__asymmetry,add_one_candidate
add_006_2d_global_multifidus_Fat_Area_asymmetry,2d__global__multifidus__Fat_Area__asymmetry,add_one_candidate
add_007_2d_global_multifidus_Texture_GLCM_Contrast_asymm,2d__global__multifidus__Texture_GLCM_Contrast__asymmetry,add_one_candidate
add_008_2d_global_multifidus_Texture_GLCM_Idm_asymmetry,2d__global__multifidus__Texture_GLCM_Idm__asymmetry,add_one_candidate
add_009_2d_global_multifidus_Std_Intensity_Muscle_asymme,2d__global__multifidus__Std_Intensity_Muscle__asymmetry,add_one_candidate
add_010_2d_global_multifidus_muscle_area_mm2_asymmetry,2d__global__multifidus__muscle_area_mm2__asymmetry,add_one_candidate
add_011_2d_global_erector_spinae_Mean_Intensity_Muscle_a,2d__global__erector_spinae__Mean_Intensity_Muscle__asymmetry,add_one_candidate
add_012_2d_global_erector_spinae_Texture_FirstOrder_Entr,2d__global__erector_spinae__Texture_FirstOrder_Entropy__asymmetry,add_one_candidate
add_013_2d_global_erector_spinae_IQR_Intensity_Muscle_as,2d__global__erector_spinae__IQR_Intensity_Muscle__asymmetry,add_one_candidate
add_014_2d_global_erector_spinae_FIP_asymmetry,2d__global__erector_spinae__FIP__asymmetry,add_one_candidate
add_015_2d_global_erector_spinae_Lean_Muscle_Area_asymme,2d__global__erector_spinae__Lean_Muscle_Area__asymmetry,add_one_candidate
add_016_2d_global_erector_spinae_Fat_Area_asymmetry,2d__global__erector_spinae__Fat_Area__asymmetry,add_one_candidate
add_017_2d_global_erector_spinae_Texture_GLCM_Contrast_a,2d__global__erector_spinae__Texture_GLCM_Contrast__asymmetry,add_one_candidate
add_018_2d_global_erector_spinae_Texture_GLCM_Idm_asymme,2d__global__erector_spinae__Texture_GLCM_Idm__asymmetry,add_one_candidate
add_019_2d_global_erector_spinae_Std_Intensity_Muscle_as,2d__global__erector_spinae__Std_Intensity_Muscle__asymmetry,add_one_candidate
add_020_2d_global_erector_spinae_muscle_area_mm2_asymmet,2d__global__erector_spinae__muscle_area_mm2__asymmetry,add_one_candidate
add_021_2d_global_psoas_Mean_Intensity_Muscle_asymmetry,2d__global__psoas__Mean_Intensity_Muscle__asymmetry,add_one_candidate
add_022_2d_global_psoas_Texture_FirstOrder_Entropy_asymm,2d__global__psoas__Texture_FirstOrder_Entropy__asymmetry,add_one_candidate
add_023_2d_global_psoas_IQR_Intensity_Muscle_asymmetry,2d__global__psoas__IQR_Intensity_Muscle__asymmetry,add_one_candidate
add_024_2d_global_psoas_FIP_asymmetry,2d__global__psoas__FIP__asymmetry,add_one_candidate
add_025_2d_global_psoas_Lean_Muscle_Area_asymmetry,2d__global__psoas__Lean_Muscle_Area__asymmetry,add_one_candidate
add_026_2d_global_psoas_Fat_Area_asymmetry,2d__global__psoas__Fat_Area__asymmetry,add_one_candidate
add_027_2d_global_psoas_Texture_GLCM_Contrast_asymmetry,2d__global__psoas__Texture_GLCM_Contrast__asymmetry,add_one_candidate
add_028_2d_global_psoas_Texture_GLCM_Idm_asymmetry,2d__global__psoas__Texture_GLCM_Idm__asymmetry,add_one_candidate
add_029_2d_global_psoas_Std_Intensity_Muscle_asymmetry,2d__global__psoas__Std_Intensity_Muscle__asymmetry,add_one_candidate
add_030_2d_global_psoas_muscle_area_mm2_asymmetry,2d__global__psoas__muscle_area_mm2__asymmetry,add_one_candidate
add_031_2d_target_multifidus_Mean_Intensity_Muscle_asymm,2d__target__multifidus__Mean_Intensity_Muscle__asymmetry,add_one_candidate
add_032_2d_target_multifidus_Texture_FirstOrder_Entropy_,2d__target__multifidus__Texture_FirstOrder_Entropy__asymmetry,add_one_candidate
add_033_2d_target_multifidus_IQR_Intensity_Muscle_asymme,2d__target__multifidus__IQR_Intensity_Muscle__asymmetry,add_one_candidate
add_034_2d_target_multifidus_FIP_asymmetry,2d__target__multifidus__FIP__asymmetry,add_one_candidate
add_035_2d_target_multifidus_Lean_Muscle_Area_asymmetry,2d__target__multifidus__Lean_Muscle_Area__asymmetry,add_one_candidate
add_036_2d_target_multifidus_Fat_Area_asymmetry,2d__target__multifidus__Fat_Area__asymmetry,add_one_candidate
add_037_2d_target_multifidus_Texture_GLCM_Contrast_asymm,2d__target__multifidus__Texture_GLCM_Contrast__asymmetry,add_one_candidate
add_038_2d_target_multifidus_Texture_GLCM_Idm_asymmetry,2d__target__multifidus__Texture_GLCM_Idm__asymmetry,add_one_candidate
add_039_2d_target_multifidus_Std_Intensity_Muscle_asymme,2d__target__multifidus__Std_Intensity_Muscle__asymmetry,add_one_candidate
add_040_2d_target_multifidus_muscle_area_mm2_asymmetry,2d__target__multifidus__muscle_area_mm2__asymmetry,add_one_candidate
add_041_2d_target_erector_spinae_Mean_Intensity_Muscle_a,2d__target__erector_spinae__Mean_Intensity_Muscle__asymmetry,add_one_candidate
add_042_2d_target_erector_spinae_Texture_FirstOrder_Entr,2d__target__erector_spinae__Texture_FirstOrder_Entropy__asymmetry,add_one_candidate
add_043_2d_target_erector_spinae_IQR_Intensity_Muscle_as,2d__target__erector_spinae__IQR_Intensity_Muscle__asymmetry,add_one_candidate
add_044_2d_target_erector_spinae_FIP_asymmetry,2d__target__erector_spinae__FIP__asymmetry,add_one_candidate
add_045_2d_target_erector_spinae_Lean_Muscle_Area_asymme,2d__target__erector_spinae__Lean_Muscle_Area__asymmetry,add_one_candidate
add_046_2d_target_erector_spinae_Fat_Area_asymmetry,2d__target__erector_spinae__Fat_Area__asymmetry,add_one_candidate
add_047_2d_target_erector_spinae_Texture_GLCM_Idm_asymme,2d__target__erector_spinae__Texture_GLCM_Idm__asymmetry,add_one_candidate
add_048_2d_target_erector_spinae_muscle_area_mm2_asymmet,2d__target__erector_spinae__muscle_area_mm2__asymmetry,add_one_candidate
add_049_2d_target_psoas_Mean_Intensity_Muscle_asymmetry,2d__target__psoas__Mean_Intensity_Muscle__asymmetry,add_one_candidate
add_050_2d_target_psoas_Texture_FirstOrder_Entropy_asymm,2d__target__psoas__Texture_FirstOrder_Entropy__asymmetry,add_one_candidate
add_051_2d_target_psoas_IQR_Intensity_Muscle_asymmetry,2d__target__psoas__IQR_Intensity_Muscle__asymmetry,add_one_candidate
add_052_2d_target_psoas_FIP_asymmetry,2d__target__psoas__FIP__asymmetry,add_one_candidate
add_053_2d_target_psoas_Lean_Muscle_Area_asymmetry,2d__target__psoas__Lean_Muscle_Area__asymmetry,add_one_candidate
add_054_2d_target_psoas_Fat_Area_asymmetry,2d__target__psoas__Fat_Area__asymmetry,add_one_candidate
add_055_2d_target_psoas_Texture_GLCM_Contrast_asymmetry,2d__target__psoas__Texture_GLCM_Contrast__asymmetry,add_one_candidate
add_056_2d_target_psoas_Texture_GLCM_Idm_asymmetry,2d__target__psoas__Texture_GLCM_Idm__asymmetry,add_one_candidate
add_057_2d_target_psoas_Std_Intensity_Muscle_asymmetry,2d__target__psoas__Std_Intensity_Muscle__asymmetry,add_one_candidate
add_058_2d_target_psoas_muscle_area_mm2_asymmetry,2d__target__psoas__muscle_area_mm2__asymmetry,add_one_candidate
add_059_3d_global_multifidus_3D_Func_Volume_asymmetry,3d__global__multifidus__3D_Func_Volume__asymmetry,add_one_candidate
add_060_3d_global_multifidus_3D_FIP_asymmetry,3d__global__multifidus__3D_FIP__asymmetry,add_one_candidate
add_061_3d_global_multifidus_Mean_Area_asymmetry,3d__global__multifidus__Mean_Area__asymmetry,add_one_candidate
add_062_3d_global_multifidus_Mean_Func_CSA_asymmetry,3d__global__multifidus__Mean_Func_CSA__asymmetry,add_one_candidate
add_063_3d_global_multifidus_Mean_FIP_asymmetry,3d__global__multifidus__Mean_FIP__asymmetry,add_one_candidate
add_064_3d_global_erector_spinae_3D_Volume_asymmetry,3d__global__erector_spinae__3D_Volume__asymmetry,add_one_candidate
add_065_3d_global_erector_spinae_3D_Func_Volume_asymmetr,3d__global__erector_spinae__3D_Func_Volume__asymmetry,add_one_candidate
add_066_3d_global_erector_spinae_3D_FIP_asymmetry,3d__global__erector_spinae__3D_FIP__asymmetry,add_one_candidate
add_067_3d_global_erector_spinae_Mean_Area_asymmetry,3d__global__erector_spinae__Mean_Area__asymmetry,add_one_candidate
add_068_3d_global_erector_spinae_Mean_Func_CSA_asymmetry,3d__global__erector_spinae__Mean_Func_CSA__asymmetry,add_one_candidate
add_069_3d_global_erector_spinae_Mean_FIP_asymmetry,3d__global__erector_spinae__Mean_FIP__asymmetry,add_one_candidate
add_070_3d_global_psoas_3D_Volume_asymmetry,3d__global__psoas__3D_Volume__asymmetry,add_one_candidate
add_071_3d_global_psoas_3D_Func_Volume_asymmetry,3d__global__psoas__3D_Func_Volume__asymmetry,add_one_candidate
add_072_3d_global_psoas_3D_FIP_asymmetry,3d__global__psoas__3D_FIP__asymmetry,add_one_candidate
add_073_3d_global_psoas_Mean_Area_asymmetry,3d__global__psoas__Mean_Area__asymmetry,add_one_candidate
add_074_3d_global_psoas_Mean_Func_CSA_asymmetry,3d__global__psoas__Mean_Func_CSA__asymmetry,add_one_candidate
add_075_3d_global_psoas_Mean_FIP_asymmetry,3d__global__psoas__Mean_FIP__asymmetry,add_one_candidate
